Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A4;0091;MARJETA - ZLATOLICJE;6.724;11.493;890;Prepolje AC;QLTC8;24.113;34;19.402;178;2.230;231;109;277;1.652;1.781;PLDP
AC;A4;0091;ZLATOLICJE - HAJDINA;11.493;15.560;;;P;23.500;40;19.210;170;1.900;200;100;240;1.640;1.723;PLDP
AC;A4;0092;HAJDINA - DRAZENCI;0;4.510;;;P;22.100;45;18.125;160;1.700;180;100;170;1.620;1.638;PLDP
AC;A4;0093;DRAZENCI -PODLEHNIK;0;5.905;1008;Podlehnik AC;QLTC8;12.931;13;10.145;151;1.186;82;40;134;1.180;1.199;PLDP
AC;A4;0094;PODLEHNIK - GRUSKOVJE ;0;8.634;1022;Gruskovje AC;QLTC8;10.454;34;7.975;153;986;56;70;112;1.068;1.095;PLDP
AC;A5;0806;DRAGUCOVA - PERNICA;0;6.174;877;Dragucova AC;QLTC8;28.902;62;20.597;193;3.164;356;182;566;3.782;3.792;PLDP
AC;A5;0806;PERNICA - LENART;6.174;11.326;2007;Mocna AC;QLTC8;28.178;61;19.970;192;3.086;349;178;565;3.777;3.783;PLDP
AC;A5;0463;PRIKLJ.PERNICA - MB;0;220;878;PR Pernica - MB;QLTC10;1.486;3;1.295;2;153;14;8;3;8;18;PLDP
AC;A5;0463;PRIKLJ.PERNICA - MS;220;440;879;PR Pernica - MS;QLTC10;761;3;667;0;75;7;4;2;3;8;PLDP
AC;A5;0807;LENART - SV.TROJICA;0;5.018;;;P;22.300;15;14.395;145;3.000;345;165;535;3.700;3.658;PLDP
AC;A5;0808;SV. TROJICA - PRIKLJ. CERKVENJAK;0;4.560;;;P;20.800;10;13.160;145;2.900;315;130;510;3.630;3.561;PLDP
AC;A5;0808;PRIKLJ. CERKVENJAK - SV. JURIJ OB SCAVNICI;4.560;12.520;;;P;19.800;10;12.370;140;2.750;300;110;520;3.600;3.530;PLDP
