Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
G1;2;0398;ORMOZ Z - ORMOZ V;0;3.020;62;P;;;;4.800;15;3.891;40;268;130;93;363;260
G1;2;1313;ORMOZ-SREDISCE OB DRAVI;0;9.000;355;O;QLD6;00x4;GRABE;2.910;20;2.407;16;127;50;46;244;261
G1;2;1313;SREDISCE OB DRAVI - MP SRED.;9.000;11.865;522;O;QLD3;00x4;MP SREDISCE OB DRAVI;1.084;5;725;1;56;17;12;268;261
G1;3;0314;PESNICA-LENART;0;14.380;84;O;QLD6;98x4;MOCNA;12.784;30;10.649;136;650;244;212;863;262
G1;3;0315;LENART-GORNJA RADGONA;0;17.785;85;O;QLD6;98x4;IHOVA;7.020;20;5.215;106;429;164;190;896;263
G1;3;0316;GORNJA RADGONA;0;1.750;86;P;;;;10.000;28;8.756;120;270;206;93;527;264
G1;3;0366;GORNJA RADGONA-RADENCI;0;5.640;86;O;QLD6;97x6;SRATOVCI;8.762;28;6.868;152;472;200;168;874;265
G1;3;0317;RADENCI-PETANJCI;0;2.050;86;P;;;;3.000;9;2.626;36;81;62;28;158;267
G1;3;0318;PETANJCI-M.SOBOTA;0;10.150;623;O;QLD6;97x6;TROPOVCI (* zapora);3.695;6;3.284;32;145;60;40;128;268
G1;3;0319;M.SOBOTA-BRATONCI;0;5.300;157;O;;02x4;RAKICAN;14.116;30;12.379;175;624;352;214;342;269
G1;3;0320;BRATONCI-BELTINCI;0;2.250;157;P;;;;9.000;14;7.605;138;366;234;91;552;270
G1;3;0321;BELTINCI-CRENSOVCI;0;5.800;87;O;;02x4;ODRANCI;5.407;16;4.267;86;234;129;72;603;271
G1;3;0369;CRENSOVCI;0;420;88;P;;;;5.500;19;4.190;72;233;142;87;757;272
G1;3;0322;CRENSOVCI-D.LAKOS;0;14.050;88;O;QLD6;97x6;HOTIZA;5.261;12;3.937;56;207;96;86;867;273
G1;3;0815;D.LAKOS-RONDO DOLGA VAS;0;4.670;685;O;QLD6;x;LENDAVSKA OBVOZNICA;2.347;10;2.253;16;6;3;3;56;274
G1;3;0487;RONDO DOLGA VAS;0;91;141;P;;;;2.100;6;1.342;3;62;37;34;616;275
G1;3;1453;DOLGA VAS-MP DOLGA VAS;0;2.520;141;O;QLD3;97x6;MP DOLGA VAS;2.282;6;1.298;17;61;48;44;808;276
G1;4;1257;DRAVOGRAD-OTISKI VRH;0;1.370;131;P;;;;12.500;112;10.879;173;511;472;166;187;277
G1;4;1258;OTISKI VRH-SL.GRADEC;0;9.170;131;O;QLD6;98x1;BUKOVSKA VAS;9.456;24;8.249;104;457;230;138;254;278
G1;4;1445;SL.GRADEC;0;1.910;131;P;;;;9.000;81;7.833;123;368;340;120;135;279
G1;4;1259;SL.GRADEC-ZG.DOLIC;0;12.985;621;O;QLD6;98x1;MISLINJA;7.313;32;6.222;84;417;248;110;200;280
G1;4;1260;ZG.DOLIC-VELENJE;0;11.550;621;P;;;;6.900;25;5.750;86;506;247;103;183;281
G1;4;1261;VELENJE-CRNOVA;0;7.350;132;O;;99x1;CRNOVA;11.000;104;9.605;99;484;373;103;232;282
G1;4;1262;CRNOVA-ARJA VAS;0;7.020;133;O;QLD6;98x4;VELIKA  PIRESICA;11.209;34;9.363;90;604;410;328;380;283
G1;4;1448;ARJA VAS-ZALEC;0;1.820;70;O;;98x4;ZALEC;4.000;13;3.402;48;237;184;58;58;284
G1;5;1469;ARJA VAS;0;2.490;130;O;;98x4;ARJA VAS 2;4.500;21;4.042;34;178;160;39;26;285
G1;5;0286;ARJA VAS- CELJE;0;6.560;69;O;QLD6;98x4;DRESINJA VAS;17.140;36;15.884;126;496;408;110;80;286
G1;5;0328;CELJE-CE(POLULE);0;2.000;90;P;;;;17.000;47;15.112;80;718;386;188;469;287
G1;5;0328;CE(POLULE)-LASKO;2.000;11.000;90;O;QLD6;99x1;KOSNICA;12.484;42;11.078;58;540;256;140;370;287
G1;5;0328;LASKO-SMARJETA;11.000;17.325;90;P;;;;9.000;30;7.986;42;389;185;101;267;287
G1;5;0329;SMARJETA-RIMSKE TOPLICE;0;1.050;91;O;QLD6;99x1;RIMSKE TOPLICE;5.908;22;5.086;44;302;152;100;202;288
G1;5;0330;RIM.TOPLICE-ZIDANI MOST;0;6.750;91;P;;;;5.500;18;4.749;39;267;149;94;184;289
G1;5;0331;ZIDANI MOST-RADECE;0;2.815;92;O;;99x1;RADECE;5.300;3;4.474;29;395;254;36;109;290
G1;5;0360;RADECE;0;520;92;P;;;;5.350;3;4.517;29;399;256;36;110;291
G1;5;0332;RADECE-BOSTANJ;0;11.270;92;P;;;;5.000;3;4.219;28;373;240;34;103;292
G1;5;0333;BOSTANJ;0;790;92;P;;;;4.650;13;3.952;19;277;176;101;112;293
G1;5;0334;BOSTANJ-IMPOLJCA;0;4.490;630;P;;;;4.200;12;3.570;18;250;158;91;101;294
G1;5;0335;IMPOLJCA-BRESTANICA;0;9.790;630;O;QLD6;x;LOG PRI SEVNICI;4.309;14;3.602;24;251;132;110;176;295
G1;5;0361;BRESTANICA-KRSKO;0;3.900;630;P;;;;7.300;21;6.204;30;435;275;158;177;296
G1;5;0336;KRSKO-DRNOVO;0;4.630;95;O;QLD6;99x1;ZADOVINEK;9.855;34;8.521;42;480;308;148;322;297
G1;5;0337;DRNOVO;0;540;95;P;;;;9.500;35;8.260;43;448;288;134;292;298
G1;6;0338;POSTOJNA-PIVKA;0;10.260;82;O;QLD6;00x1;PRESTRANEK;10.658;78;9.502;86;478;176;102;236;299
G1;6;0339;PIVKA-RIBNICA;0;9.945;615;O;QLD6;97x4;RIBNICA;3.684;48;3.141;42;181;56;44;172;300
G1;6;0340;RIBNICA-PREM;0;4.215;615;P;;;;4.000;43;3.393;43;191;80;50;200;301
G1;6;0341;PREM-IL.BISTRICA;0;6.210;615;P;;;;4.500;49;3.817;48;215;90;56;225;302
G1;6;0342;IL.BISTRICA;0;1.160;83;P;;;;6.500;30;5.875;66;227;93;34;175;303
G1;6;0363;IL.BISTRICA;0;1.470;83;P;;;;11.000;29;10.378;68;226;92;33;174;304
G1;6;0343;IL.BISTRICA-JELSANE;0;8.500;83;O;QLD6;97x4;KOSEZE;7.211;68;6.566;66;283;86;32;110;305
G1;6;0343;JELSANE - MP JELSANE;8.500;10.000;504;O;QLD3;x;MP JELSANE;4.170;36;3.882;33;48;28;16;127;305
G1;7;0356;MP STAROD-PODGRAD;0;6.500;503;O;QLD3;97x4;MP STAROD;4.140;57;3.724;21;54;70;16;198;306
G1;7;0355;PODGRAD-OBROV;0;5.900;503;P;;;;6.000;84;5.515;32;80;73;16;200;307
G1;7;0354;OBROV-KOZINA;0;14.500;604;O;QLD6;98x4;GRADISCE;6.329;68;5.366;68;319;84;44;380;308
G1;7;0353;KOZINA-MP KRVAVI POTOK;0;3.340;652;O;QLD3;97x4;MP KRVAVI POTOK;4.664;16;4.077;72;227;164;38;70;309
G1;8;0207;VRBA-LESCE;0;1.407;646;P;;;;19.500;96;16.496;164;1.225;714;196;609;310
G1;8;0208;LESCE-CRNIVEC;0;6.400;632;O;QLD6;x;RADOVLJICA;24.904;90;22.137;320;1.255;352;194;556;312
G1;8;0213;LJ(SENTVID - OBVOZNICA);0;2.900;725;O;QLD6;x;LJ CELOVSKA DRAVLJE;58.533;100;53.356;752;2.294;680;484;867;314
